customer_id,quarter,tenure_in_months,phone_service,internet_service,internet_type,contract,payment_method,monthly_charge,total_charges
5644-PDMZC,Q3,2,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,89.5,161.5
4160-AMJTL,Q3,8,Yes,No,No Internet,Month-to-Month,Bank Withdrawal,19.65,164.3
0823-HSCDJ,Q3,52,No,Yes,DSL,Month-to-Month,Bank Withdrawal,49.15,2550.9
0067-DKWBL,Q3,2,Yes,Yes,DSL,Month-to-Month,Bank Withdrawal,49.25,91.1
5244-IRFIH,Q3,33,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,94.5,3105.55
2684-EIWEO,Q3,30,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,91.7,2758.15
6683-VLCTZ,Q3,20,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,98.55,1842.8
0691-IFBQW,Q3,46,Yes,Yes,Fiber Optic,One Year,Bank Withdrawal,110.0,4874.8
3643-AHCFP,Q3,7,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,95.6,644.35
9231-ZJYAM,Q3,4,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,78.85,292.8
0727-BMPLR,Q3,55,Yes,Yes,Fiber Optic,One Year,Bank Withdrawal,100.0,5509.3
0947-MUGVO,Q3,20,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,73.65,1463.5
0781-LKXBR,Q3,9,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,100.5,918.6
1907-UBQFC,Q3,10,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,72.85,688.65
6513-EECDB,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,73.55,73.55
7074-IEVOJ,Q3,3,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,79.4,205.05
4750-ZRXIU,Q3,4,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,84.6,360.1
7028-DVOIQ,Q3,35,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,99.05,3395.8
4208-UFFGW,Q3,2,Yes,Yes,DSL,Month-to-Month,Credit Card,44.95,85.15
9889-TMAHG,Q3,8,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,100.3,832.35
8919-FYFQZ,Q3,44,No,Yes,Cable,Month-to-Month,Bank Withdrawal,30.35,1359.7
6646-QVXLR,Q3,62,Yes,Yes,Fiber Optic,One Year,Bank Withdrawal,103.75,6383.35
9369-XFEHK,Q3,33,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,80.6,2656.5
1374-DMZUI,Q3,4,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,94.3,424.45
1989-PRJHP,Q3,27,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,75.5,1893.95
4822-RVYBB,Q3,8,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,100.6,819.4
4184-TJFAN,Q3,3,Yes,Yes,Fiber Optic,Month-to-Month,Mailed Check,88.3,273.75
4145-UQXUQ,Q3,8,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,92.1,729.95
1236-WFCDV,Q3,14,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,90.45,1266.1
1271-SJBGZ,Q3,12,No,Yes,DSL,Month-to-Month,Bank Withdrawal,43.65,526.95
4441-NIHPT,Q3,13,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,74.3,940.35
8999-BOHSE,Q3,11,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,89.7,1047.7
7029-RPUAV,Q3,17,Yes,Yes,Cable,Month-to-Month,Credit Card,100.45,1622.45
8111-SLLHI,Q3,39,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,105.65,4284.8
5293-WXJAK,Q3,11,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,104.05,1133.65
4086-YQSNZ,Q3,3,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,80.4,224.05
8399-YNDCH,Q3,21,Yes,Yes,DSL,Month-to-Month,Bank Withdrawal,60.05,1236.15
5565-FILXA,Q3,16,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,96.15,1529.2
4187-CINZD,Q3,46,Yes,Yes,Fiber Optic,One Year,Credit Card,95.25,4424.2
6818-WOBHJ,Q3,68,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,89.6,6127.6
9134-CEQMF,Q3,7,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,89.5,676.7
8519-IMDHU,Q3,15,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,85.6,1345.55
3372-KWFBM,Q3,16,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,86.6,1281.0
7206-GZCDC,Q3,1,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,69.25,69.25
1768-ZAIFU,Q3,1,No,Yes,Cable,Month-to-Month,Bank Withdrawal,25.2,25.2
3793-MMFUH,Q3,13,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,95.05,1290.0
6567-HOOPW,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,79.2,79.2
8621-MNIHH,Q3,34,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,94.25,3217.55
5419-CONWX,Q3,4,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,99.8,442.85
7024-OHCCK,Q3,2,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,93.85,170.85
5357-TZHPP,Q3,9,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,84.4,732.5
0506-LVNGN,Q3,5,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,75.55,349.65
9809-IMGCQ,Q3,22,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,96.7,2082.95
3254-YRILK,Q3,19,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,88.2,1775.8
0529-ONKER,Q3,15,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,75.65,1146.65
5240-IJOQT,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,74.7,74.7
0661-XEYAN,Q3,1,No,Yes,DSL,Month-to-Month,Mailed Check,25.8,25.8
2660-EMUBI,Q3,10,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,95.35,898.35
7675-OZCZG,Q3,3,Yes,Yes,DSL,Month-to-Month,Bank Withdrawal,45.0,127.1
9391-EOYLI,Q3,12,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,80.45,950.2
2761-OCIAX,Q3,2,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,74.7,165.4
3068-OMWZA,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,88.8,88.8
4154-AQUGT,Q3,13,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,89.05,1169.35
8017-LXHFA,Q3,23,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,94.75,2293.6
4248-QPAVC,Q3,17,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,85.35,1463.45
4690-LLKUA,Q3,17,Yes,Yes,DSL,Month-to-Month,Bank Withdrawal,45.05,770.6
9490-DFPMD,Q3,42,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,84.65,3541.35
8580-AECUZ,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,79.1,79.1
5047-LHVLY,Q3,1,Yes,Yes,Cable,Month-to-Month,Mailed Check,50.15,50.15
8375-DKEBR,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,69.6,69.6
7279-BUYWN,Q3,41,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,113.2,4689.5
7156-MHUGY,Q3,13,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,90.5,1201.15
9606-PBKBQ,Q3,32,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,85.0,2642.05
3536-IQCTX,Q3,32,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,85.3,2661.1
3132-TVFDZ,Q3,57,No,Yes,Cable,Month-to-Month,Bank Withdrawal,44.85,2572.95
8080-DDEMJ,Q3,1,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,45.1,45.1
6702-OHFWR,Q3,1,No,Yes,DSL,Month-to-Month,Bank Withdrawal,43.3,43.3
4510-PYUSH,Q3,38,Yes,Yes,DSL,Month-to-Month,Credit Card,57.15,2250.65
8840-DQLGN,Q3,35,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,100.5,3653.35
4193-ORFCL,Q3,1,Yes,Yes,DSL,Month-to-Month,Credit Card,45.1,45.1
7776-QWNFX,Q3,30,Yes,Yes,DSL,Month-to-Month,Bank Withdrawal,50.4,1527.5
6689-TCZHQ,Q3,5,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,78.95,378.4
9497-QCMMS,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,93.55,93.55
3424-NMNBO,Q3,58,Yes,Yes,Fiber Optic,One Year,Bank Withdrawal,108.85,6287.25
4514-GFCFI,Q3,16,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,84.75,1350.15
8000-REIQB,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,69.95,69.95
4795-KTRTH,Q3,5,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,81.0,371.65
9961-JBNMK,Q3,21,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,96.8,2030.3
6179-GJPSO,Q3,43,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,108.15,4600.7
8290-YWKHZ,Q3,32,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,93.2,2931.0
8051-HJRLT,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,70.55,70.55
4021-RQSNY,Q3,29,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,98.5,3004.15
9061-TIHDA,Q3,13,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,95.25,1233.65
8699-ASUFO,Q3,7,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,74.4,527.9
4695-WJZUE,Q3,2,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,88.55,179.25
3988-RQIXO,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,91.3,91.3
5931-FLJJF,Q3,7,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,70.1,467.55
3207-OYBWH,Q3,57,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,95.25,5427.05
7216-EWTRS,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,100.8,100.8
2528-HFYZX,Q3,17,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,76.45,1233.4
4140-MUHUG,Q3,3,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,86.85,220.95
1587-FKLZB,Q3,66,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,99.5,6822.15
5440-FLBQG,Q3,69,Yes,Yes,Fiber Optic,Two Year,Bank Withdrawal,108.4,7318.2
2774-LVQUS,Q3,15,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,83.05,1258.3
4612-THJBS,Q3,56,Yes,Yes,Fiber Optic,One Year,Bank Withdrawal,104.75,5510.65
4094-NSEDU,Q3,21,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,94.25,1973.75
1846-XWOQN,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,70.15,70.15
3757-NJYBX,Q3,32,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,106.35,3520.75
9898-KZQDZ,Q3,40,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,94.55,3640.45
8263-JQAIK,Q3,2,No,Yes,DSL,Month-to-Month,Credit Card,24.45,47.5
2205-YMZZJ,Q3,7,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,84.8,546.95
1254-IZEYF,Q3,31,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,99.95,3186.65
9221-OTIVJ,Q3,14,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,104.85,1531.4
5908-QMGOE,Q3,15,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,74.2,1133.9
0397-GZBBC,Q3,59,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,93.85,5574.75
7641-EUYET,Q3,46,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,100.7,4541.2
8922-LIEGH,Q3,25,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,89.7,2187.55
8245-UMPYT,Q3,16,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,96.4,1581.2
5186-SAMNZ,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,69.5,69.5
5373-SFODM,Q3,36,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,85.25,3132.75
0022-TCJCI,Q3,45,Yes,Yes,DSL,One Year,Credit Card,62.7,2791.5
5130-IEKQT,Q3,25,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,105.95,2655.25
3269-ATYWD,Q3,39,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,95.65,3759.05
0354-WYROK,Q3,31,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,98.9,2911.3
7576-OYWBN,Q3,3,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,76.05,231.8
5539-TMZLF,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,69.75,69.75
3336-JORSO,Q3,33,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,110.45,3655.45
6861-XWTWQ,Q3,7,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,99.25,665.45
4283-FUTGF,Q3,19,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,79.85,1471.75
2397-BRLOM,Q3,8,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,80.45,583.45
8510-AWCXC,Q3,13,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,100.8,1308.1
8225-BTJAU,Q3,10,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,79.25,793.55
1724-BQUHA,Q3,5,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,89.5,477.7
4826-XTSOH,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,86.05,86.05
2408-WITXK,Q3,10,No,Yes,DSL,Month-to-Month,Bank Withdrawal,34.7,329.8
2634-HCZGT,Q3,53,Yes,Yes,Cable,One Year,Bank Withdrawal,60.05,3229.65
7503-QQRVF,Q3,16,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,74.3,1178.25
0709-TVGUR,Q3,9,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,74.55,622.9
3001-CBHLQ,Q3,32,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,104.9,3351.55
4102-OQUPX,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,74.4,74.4
3999-QGRJH,Q3,8,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,69.7,560.85
2454-RPBRZ,Q3,12,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,98.1,1060.2
2265-CYWIV,Q3,4,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,99.6,347.65
4550-VBOFE,Q3,70,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,102.95,7101.5
7409-KIUTL,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,71.0,71.0
1732-VHUBQ,Q3,47,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,70.55,3309.25
0679-IDSTG,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,69.25,69.25
8802-UNOJF,Q3,12,Yes,Yes,Cable,Month-to-Month,Credit Card,83.8,1029.75
6313-GIDIT,Q3,53,No,Yes,DSL,Month-to-Month,Bank Withdrawal,54.45,2854.55
2845-AFFTX,Q3,41,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,99.8,4259.3
2815-CPTUL,Q3,5,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,70.25,331.9
1891-FZYSA,Q3,69,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,89.95,6143.15
9685-WKZGT,Q3,14,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,74.95,1036.75
6022-UGGSO,Q3,32,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,74.4,2276.95
3923-CSIHK,Q3,50,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,71.05,3444.85
3677-IYRBF,Q3,2,No,Yes,DSL,Month-to-Month,Bank Withdrawal,30.4,78.65
8118-LSUEL,Q3,23,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,106.4,2483.5
5277-ZLOOR,Q3,2,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,85.55,187.45
4248-HCETZ,Q3,30,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,79.65,2365.15
9174-FKWZE,Q3,1,Yes,No,No Internet,Month-to-Month,Bank Withdrawal,19.45,19.45
5307-DZCVC,Q3,32,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,85.95,2628.6
8679-JOEVF,Q3,16,Yes,Yes,DSL,Month-to-Month,Bank Withdrawal,59.4,1023.9
4803-AXVYP,Q3,38,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,99.55,3734.25
5649-ANRML,Q3,2,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,95.1,180.25
7395-IGJOS,Q3,17,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,81.5,1329.2
7890-VYYWG,Q3,3,No,Yes,DSL,Month-to-Month,Credit Card,36.45,93.7
9907-SWKKF,Q3,1,No,Yes,DSL,Month-to-Month,Credit Card,25.05,25.05
6397-JNZZG,Q3,43,No,Yes,DSL,Month-to-Month,Credit Card,55.55,2342.2
7779-LGOVN,Q3,10,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,86.65,856.65
9710-ZUSHQ,Q3,37,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,106.75,4056.75
3902-FOIGH,Q3,12,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,101.35,1218.55
3318-OSATS,Q3,35,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,95.45,3474.05
2636-ALXXZ,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,69.6,69.6
9885-CSMWE,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,78.45,78.45
8058-JMEQO,Q3,9,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,84.45,762.5
7657-DYEPJ,Q3,38,Yes,Yes,Cable,One Year,Credit Card,70.15,2497.35
8276-MQBYC,Q3,51,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,97.8,4913.3
6015-VVHHE,Q3,5,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,83.15,446.05
2516-VQRRV,Q3,2,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,75.45,158.4
7580-UGXNC,Q3,2,Yes,Yes,DSL,Month-to-Month,Credit Card,54.85,104.2
5178-LMXOP,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,95.1,95.1
7056-IMHCC,Q3,53,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,101.9,5549.4
8749-JMNKX,Q3,51,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,93.8,4750.95
0917-EZOLA,Q3,72,Yes,Yes,Fiber Optic,Two Year,Bank Withdrawal,104.15,7689.95
8414-MYSHR,Q3,5,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,91.4,449.75
4988-IQIGL,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,75.35,75.35
4706-AXVKM,Q3,11,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,84.8,906.85
5889-JTMUL,Q3,50,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,95.05,4888.7
9026-RNUJS,Q3,5,Yes,Yes,DSL,Month-to-Month,Bank Withdrawal,50.35,237.25
1624-NALOJ,Q3,5,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,89.8,502.6
6210-KBBPI,Q3,9,Yes,Yes,Fiber Optic,Month-to-Month,Credit Card,99.45,919.4
2260-USTRB,Q3,2,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,70.2,115.95
8623-TMRBY,Q3,51,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,84.2,4146.05
6900-PXRMS,Q3,26,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,105.75,2710.25
3346-BRMIS,Q3,18,No,Yes,DSL,Month-to-Month,Bank Withdrawal,48.35,810.7
2722-JMONI,Q3,1,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,49.55,49.55
7579-OOPEC,Q3,2,Yes,Yes,DSL,Month-to-Month,Credit Card,50.15,115.1
1771-OADNZ,Q3,29,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,95.9,2745.2
0612-RTZZA,Q3,1,No,Yes,DSL,Month-to-Month,Bank Withdrawal,25.25,25.25
4433-JCGCG,Q3,46,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,101.0,4680.05
9488-HGMJH,Q3,1,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,71.15,71.15
4818-QIUFN,Q3,20,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,79.15,1520.9
6961-VCPMC,Q3,46,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,80.4,3605.2
4424-TKOPW,Q3,2,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,93.85,196.75
4201-JMNGR,Q3,1,Yes,Yes,Cable,Month-to-Month,Bank Withdrawal,55.8,55.8
1866-RZZQS,Q3,41,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,98.4,4187.75
8631-NBHFZ,Q3,66,Yes,Yes,DSL,Two Year,Credit Card,79.4,5154.6
4958-XCBDQ,Q3,35,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,101.4,3496.3
8337-UPOAQ,Q3,10,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,89.8,914.3
6712-OAWRH,Q3,26,Yes,Yes,Fiber Optic,Month-to-Month,Bank Withdrawal,91.25,2351.8
